rebalance_date,rank,symbol,trailing_90d_median_yahoo_dollar_volume,valid_volume_obs_90d
2021-08-01,16,FIL-USD,649870339.5,90
2021-08-01,17,NEO-USD,493027227.5,90
2021-08-01,18,DASH-USD,452658629.5,90
2021-08-01,19,OKB-USD,434002814.0,90
2021-08-01,20,ZEC-USD,356117496.0,90
2021-08-01,21,THETA-USD,340088080.5,90
2021-08-01,22,CHZ-USD,309543860.5,90
2021-08-01,23,QTUM-USD,309516292.0,90
2021-08-01,24,BTT-USD,300724043.5,90
2021-08-01,25,BTTOLD-USD,300724043.5,90
2021-08-01,26,LUNC-USD,292513608.5,90
2021-08-01,27,ATOM-USD,271365879.0,90
2021-08-01,28,HT-USD,270126451.5,90
2021-08-01,29,XMR-USD,255551474.5,90
2021-08-01,30,OMG-USD,233229875.0,90
2021-08-01,31,BAT-USD,203092145.0,90
2021-08-01,32,ENJ-USD,183094973.0,90
2021-08-01,33,WAVES-USD,163195281.0,90
2021-08-01,34,ONT-USD,153602249.0,90
2021-08-01,35,MKR-USD,141775773.5,90
2021-08-01,36,ALGO-USD,135100839.0,90
2021-08-01,37,MANA-USD,134581119.5,90
2021-08-01,38,IOST-USD,123619315.5,90
2021-08-01,39,HOT2682-USD,122233307.5,90
2021-08-01,40,RUNE-USD,119182839.0,90
2021-08-01,41,SNX-USD,116702772.0,90
2021-08-01,42,ZIL-USD,112196215.5,90
2021-08-01,43,XTZ-USD,109579345.0,90
2021-08-01,44,XEM-USD,103626207.0,90
2021-08-01,45,FTT-USD,98508924.5,90
2021-08-01,46,TFUEL-USD,91870190.0,90
2021-08-01,47,ZRX-USD,72847155.5,90
2021-08-01,48,BNT-USD,58605497.0,90
2021-08-01,49,CRO-USD,57142453.5,90
2021-08-01,50,SC-USD,54449210.0,90
2021-09-01,1,BTC-USD,33498691058.5,90
2021-09-01,2,ETH-USD,22282275168.0,90
2021-09-01,3,XRP-USD,3032529063.0,90
2021-09-01,4,ETC-USD,2651093494.5,90
2021-09-01,5,ADA-USD,2342892552.5,90
2021-09-01,6,DOGE-USD,1948249292.0,90
2021-09-01,7,LTC-USD,1893519635.0,90
2021-09-01,8,BNB-USD,1877003040.5,90
2021-09-01,9,BCH-USD,1868460221.5,90
2021-09-01,10,EOS-USD,1217903063.0,90
2021-09-01,11,LINK-USD,1113358555.5,90
2021-09-01,12,TRX-USD,1001785175.5,90
2021-09-01,13,VET-USD,679606889.0,90
2021-09-01,14,XLM-USD,593304727.0,90
2021-09-01,15,FIL-USD,546324787.5,90
2021-09-01,16,BSV-USD,443042892.0,90
2021-09-01,17,NEO-USD,399347232.0,90
2021-09-01,18,DASH-USD,381879787.0,90
2021-09-01,19,OKB-USD,374586458.5,90
2021-09-01,20,THETA-USD,313983933.0,90
2021-09-01,21,LUNC-USD,307640959.0,90
2021-09-01,22,ZEC-USD,289488326.5,90
2021-09-01,23,CHZ-USD,284923859.5,90
2021-09-01,24,BTTOLD-USD,284361155.5,90
2021-09-01,25,BTT-USD,284361155.5,90
2021-09-01,26,QTUM-USD,274794985.5,90
2021-09-01,27,ATOM-USD,230200622.5,90
2021-09-01,28,OMG-USD,216110482.5,90
2021-09-01,29,XMR-USD,209896938.5,90
2021-09-01,30,HT-USD,202976091.5,90
2021-09-01,31,BAT-USD,185080674.0,90
2021-09-01,32,ENJ-USD,151117428.5,90
2021-09-01,33,SXP-USD,143289075.5,90
2021-09-01,34,WAVES-USD,143052181.0,90
2021-09-01,35,MKR-USD,131951403.5,90
2021-09-01,36,MANA-USD,131825859.5,90
2021-09-01,37,ONT-USD,125777423.0,90
2021-09-01,38,SNX-USD,116702772.0,90
2021-09-01,39,RUNE-USD,116008179.0,90
2021-09-01,40,ALGO-USD,114340551.5,90
2021-09-01,41,XTZ-USD,107977919.0,90
2021-09-01,42,HOT2682-USD,106649733.5,90
2021-09-01,43,IOST-USD,102912671.5,90
2021-09-01,44,TFUEL-USD,96646547.5,90
2021-09-01,45,ZIL-USD,94089720.0,90
2021-09-01,46,FTT-USD,86374016.0,90
2021-09-01,47,XEM-USD,81415470.5,90
2021-09-01,48,ZRX-USD,71665437.5,90
2021-09-01,49,CHR-USD,61338657.0,90
2021-09-01,50,SC-USD,57086316.0,90
2021-10-01,1,BTC-USD,31408035839.0,90
2021-10-01,2,ETH-USD,19977382598.5,90
2021-10-01,3,XRP-USD,3507357969.5,90
2021-10-01,4,ADA-USD,3208013517.5,90
2021-10-01,5,BCH-USD,2495940018.5,90
2021-10-01,6,ETC-USD,2319277029.5,90
2021-10-01,7,LTC-USD,2114635194.0,90
2021-10-01,8,BNB-USD,1822794341.5,90
2021-10-01,9,DOGE-USD,1754051635.5,90
2021-10-01,10,EOS-USD,1341063866.0,90
2021-10-01,11,LINK-USD,1206330335.0,90
2021-10-01,12,TRX-USD,1166674692.0,90
2021-10-01,13,LUNC-USD,761921400.5,90
2021-10-01,14,FIL-USD,687910662.0,90
2021-10-01,15,VET-USD,606511188.5,90
2021-10-01,16,XLM-USD,582905518.0,90
2021-10-01,17,ATOM-USD,462256106.0,90
2021-10-01,18,BTT-USD,421124030.5,90
2021-10-01,19,BTTOLD-USD,421124030.5,90
2021-10-01,20,NEO-USD,384900506.5,90
2021-10-01,21,BSV-USD,359815329.0,90
2021-10-01,22,DASH-USD,349922250.0,90
2021-10-01,23,OKB-USD,339060333.0,90
2021-10-01,24,OMG-USD,322418344.5,90
2021-10-01,25,THETA-USD,312108457.5,90
2021-10-01,26,QTUM-USD,291828539.0,90
2021-10-01,27,CHZ-USD,273519017.0,90
2021-10-01,28,ZEC-USD,250166948.0,90
2021-10-01,29,HBAR-USD,228035618.0,90
2021-10-01,30,FTT-USD,224847950.0,90
2021-10-01,31,XMR-USD,209544798.5,90
2021-10-01,32,BAT-USD,208963847.5,90
2021-10-01,33,HT-USD,208068678.0,90
2021-10-01,34,XTZ-USD,187303357.5,90
2021-10-01,35,ALGO-USD,177025356.5,90
